authorized_flag,card_id,city_id,category_1,installments,category_3,merchant_category_id,merchant_id,month_lag,purchase_amount,purchase_date,category_2,state_id,subsector_id
Y,C_ID_a97720321f,69,N,0,A,2,M_ID_42e45dc653,1,-0.46140407,2018-03-02 09:30:52,1.0,9,20
Y,C_ID_a97720321f,246,N,0,A,307,M_ID_d353d59d3f,2,-0.46684367,2018-04-13 18:59:07,3.0,1,19
Y,C_ID_a97720321f,69,N,0,A,278,M_ID_0ddc5ce867,1,-0.70361641,2018-03-03 11:58:44,1.0,9,37
Y,C_ID_a97720321f,69,N,0,A,840,M_ID_d984b94f54,1,-0.44788021,2018-03-02 06:00:35,1.0,9,20
Y,C_ID_a97720321f,69,N,0,A,884,M_ID_1abfe450d5,1,-0.21046132,2018-03-01 16:11:36,1.0,9,27
Y,C_ID_a97720321f,69,N,0,A,248,M_ID_66adcdcb21,1,-0.71813203,2018-03-01 14:21:53,1.0,9,8
Y,C_ID_a97720321f,69,N,0,A,437,M_ID_34f363f2f8,1,-0.27627745,2018-03-02 10:11:22,1.0,9,15
Y,C_ID_a97720321f,69,N,0,A,278,M_ID_1b3dbfbaec,1,-0.66531384,2018-03-01 13:50:07,1.0,9,37
Y,C_ID_fb0875cd28,271,N,0,A,307,M_ID_687693a28e,1,-0.67177524,2018-03-05 15:16:31,1.0,9,19
Y,C_ID_fb0875cd28,140,N,0,A,705,M_ID_274f488e7c,1,-0.64370571,2018-03-15 13:02:12,1.0,9,33
Y,C_ID_fb0875cd28,271,N,0,A,309,M_ID_515b5c23a0,2,-0.70783886,2018-04-13 08:20:38,1.0,9,21
Y,C_ID_fb0875cd28,271,N,0,A,357,M_ID_a51260f5a6,2,-0.71234682,2018-04-19 12:50:40,1.0,9,27
Y,C_ID_fb0875cd28,140,N,0,A,518,M_ID_0bde232c50,1,-0.62489252,2018-03-15 08:16:00,1.0,9,27
Y,C_ID_fb0875cd28,69,N,0,A,497,M_ID_725a60d404,2,-0.69281235,2018-04-04 12:11:46,1.0,9,27
Y,C_ID_fb0875cd28,331,N,0,A,274,M_ID_3b3ec0f162,1,-0.565087,2018-03-16 08:32:37,1.0,9,36
Y,C_ID_8c9ba46f19,69,N,0,A,561,M_ID_50f575c681,2,0.86255183,2017-12-24 15:25:30,1.0,9,7
Y,C_ID_8c9ba46f19,4,N,0,A,690,M_ID_f85d6b0a06,2,-0.72286538,2017-12-14 21:22:11,2.0,10,1
Y,C_ID_8c9ba46f19,17,N,0,A,195,M_ID_65c0452e8c,1,1.05627362,2017-11-12 00:00:00,4.0,22,34
Y,C_ID_8c9ba46f19,17,N,0,A,278,M_ID_59ec08b5f6,1,-0.36858531,2017-11-12 17:01:26,4.0,22,37
Y,C_ID_8c9ba46f19,17,N,0,A,2,,2,1.59722804,2017-12-19 08:07:34,4.0,22,20
Y,C_ID_8c9ba46f19,4,N,0,A,278,M_ID_c3294a6c4b,2,-0.67177524,2017-12-14 11:39:08,2.0,10,37
Y,C_ID_8c9ba46f19,4,N,0,A,454,M_ID_0a9ad8a715,2,-0.63871691,2017-12-14 00:40:57,2.0,10,39
Y,C_ID_8c9ba46f19,4,N,0,A,80,M_ID_64c00d1e60,2,-0.69281235,2017-12-12 04:42:32,2.0,10,37
Y,C_ID_8c9ba46f19,17,N,0,A,454,M_ID_1516e4c882,2,-0.6266957,2017-12-12 09:26:02,4.0,22,39
Y,C_ID_8c9ba46f19,17,N,0,A,607,M_ID_4748aadbf3,2,0.37973498,2017-12-24 12:19:52,4.0,22,29
Y,C_ID_8c9ba46f19,4,N,0,A,705,M_ID_d422b95fce,2,-0.63674844,2017-12-14 19:11:53,2.0,10,33
Y,C_ID_8c9ba46f19,17,N,0,A,130,M_ID_3676bcbee1,2,-0.61166919,2017-12-16 11:57:17,4.0,22,41
Y,C_ID_8c9ba46f19,17,N,0,A,80,M_ID_235fba1cce,1,-0.65524607,2017-11-22 17:05:01,4.0,22,37
Y,C_ID_8c9ba46f19,17,N,0,A,278,M_ID_a521004606,2,-0.04204418,2017-12-30 22:33:19,4.0,22,37
Y,C_ID_8c9ba46f19,107,N,0,A,307,M_ID_a8fba52889,1,-0.52151012,2017-11-15 00:00:00,4.0,4,19
Y,C_ID_8c9ba46f19,17,N,0,A,248,M_ID_822309aed1,2,0.39008825,2017-12-28 14:56:47,4.0,22,8
Y,C_ID_8c9ba46f19,17,N,0,A,793,M_ID_c24b66dec7,2,1.4169099,2017-12-22 15:47:35,4.0,22,38
Y,C_ID_8c9ba46f19,17,N,0,A,434,M_ID_0c9c0f995f,1,2.85945504,2017-11-14 19:14:45,4.0,22,32
Y,C_ID_8c9ba46f19,17,N,0,A,367,M_ID_aebc816995,1,-0.61752953,2017-11-21 21:36:00,4.0,22,16
Y,C_ID_8c9ba46f19,17,N,0,A,307,M_ID_67f63303fc,1,-0.35337848,2017-11-11 00:00:00,4.0,22,19
Y,C_ID_8c9ba46f19,17,N,0,A,560,M_ID_c50d5d8042,1,-0.7206114,2017-11-21 21:33:49,4.0,22,34
Y,C_ID_8c9ba46f19,17,N,0,A,278,M_ID_787118d4d4,2,-0.24772707,2017-12-23 23:05:21,4.0,22,37
Y,C_ID_8c9ba46f19,17,N,0,A,360,M_ID_9000765cad,1,-0.01361402,2017-11-11 00:00:00,4.0,22,34
Y,C_ID_8c9ba46f19,107,N,0,A,818,M_ID_0d62d8ac27,1,-0.71986007,2017-11-15 00:00:00,4.0,4,12
Y,C_ID_8c9ba46f19,17,N,0,A,278,M_ID_156243230b,2,-0.59716861,2017-12-31 15:18:32,4.0,22,37
Y,C_ID_8c9ba46f19,17,N,0,A,278,M_ID_0851298221,2,-0.64855928,2017-12-26 11:54:48,4.0,22,37
Y,C_ID_8c9ba46f19,107,N,0,A,278,M_ID_39833009b5,1,-0.6883044,2017-11-15 18:29:27,4.0,4,37
Y,C_ID_8c9ba46f19,17,N,0,A,307,M_ID_109a493327,2,-0.36319079,2017-12-12 08:07:24,4.0,22,19
Y,C_ID_8c9ba46f19,107,N,0,A,818,M_ID_0d62d8ac27,1,-0.68229379,2017-11-15 00:00:00,4.0,4,12
Y,C_ID_7e64479fbb,223,N,0,A,383,M_ID_fde06ecdf2,1,-0.53653663,2018-02-07 10:00:14,5.0,21,2
Y,C_ID_7e64479fbb,223,N,0,A,80,M_ID_e96051e426,1,-0.70874046,2018-02-18 19:15:55,5.0,21,37
Y,C_ID_7e64479fbb,333,N,0,A,367,M_ID_4e7024c4f8,2,-0.70486362,2018-03-17 21:16:37,5.0,21,16
Y,C_ID_7e64479fbb,264,N,0,A,307,M_ID_2a6af4fe53,2,-0.66501331,2018-03-07 17:25:04,2.0,18,19
Y,C_ID_7e64479fbb,223,N,0,A,437,M_ID_cdb87c1fdf,1,-0.74203921,2018-02-14 16:58:14,5.0,21,15
Y,C_ID_7e64479fbb,160,N,0,A,278,M_ID_456c29b4e8,2,-0.59930237,2018-03-27 23:53:33,5.0,21,37
Y,C_ID_7e64479fbb,160,N,0,A,278,M_ID_48f6068490,1,-0.63871691,2018-02-27 21:53:34,5.0,21,37
Y,C_ID_7e64479fbb,160,N,0,A,422,M_ID_755c2055fe,2,-0.37126003,2018-03-23 13:54:13,5.0,21,27
Y,C_ID_7e64479fbb,223,N,0,A,19,M_ID_80c4fc2809,1,-0.51109675,2018-02-07 11:34:32,5.0,21,36
Y,C_ID_7e64479fbb,333,N,0,A,278,M_ID_70ce390060,1,-0.65930323,2018-02-13 19:32:10,1.0,9,37
Y,C_ID_7e64479fbb,223,N,0,A,690,M_ID_dc5e6345b3,2,-0.73188128,2018-03-28 16:42:03,5.0,21,1
Y,C_ID_7e64479fbb,223,N,0,A,307,M_ID_87d1a8c459,1,-0.59664268,2018-02-04 01:33:04,5.0,21,19
Y,C_ID_7e64479fbb,264,N,0,A,367,M_ID_aa2d372c58,1,-0.71688482,2018-02-23 20:34:30,2.0,18,16
Y,C_ID_7e64479fbb,223,N,0,A,80,M_ID_d419404204,2,-0.72812466,2018-03-04 17:10:54,5.0,21,37
Y,C_ID_7e64479fbb,160,N,0,A,45,M_ID_c8714e60a4,2,-0.371245,2018-03-14 08:30:37,5.0,21,18
Y,C_ID_7e64479fbb,223,N,0,A,422,M_ID_16de6b724d,1,-0.57124787,2018-02-17 11:25:23,5.0,21,27
Y,C_ID_0a6ceeffcc,143,N,0,A,278,M_ID_49d35a5b24,2,-0.71354894,2017-12-09 11:37:54,5.0,5,37
Y,C_ID_0a6ceeffcc,143,N,0,A,705,M_ID_f9b32cfc49,2,-0.73940957,2017-12-16 15:25:52,5.0,5,33
Y,C_ID_0a6ceeffcc,333,N,0,A,544,M_ID_40fa1641fb,2,-0.71084417,2017-12-22 13:52:37,1.0,9,29
Y,C_ID_0a6ceeffcc,143,N,0,A,560,M_ID_a581126f45,2,-0.70949178,2017-12-09 18:40:38,5.0,5,34
Y,C_ID_0a6ceeffcc,143,N,0,A,68,M_ID_3dab3fd564,1,-0.67327789,2017-11-24 00:00:00,5.0,5,27
Y,C_ID_0a6ceeffcc,169,N,0,A,683,M_ID_312646f806,1,-0.72902625,2017-11-17 18:01:41,5.0,20,34
Y,C_ID_0a6ceeffcc,143,N,0,A,278,M_ID_0f6a955e5a,1,-0.70355631,2017-11-29 15:27:49,5.0,5,37
Y,C_ID_0a6ceeffcc,143,N,0,A,884,,1,-0.59667273,2017-11-24 00:00:00,5.0,5,27
Y,C_ID_0a6ceeffcc,143,N,0,A,560,M_ID_dae6caf288,1,-0.72324104,2017-11-02 12:39:37,5.0,5,34
Y,C_ID_0a6ceeffcc,143,N,0,A,454,M_ID_95fb466d79,1,-0.72887598,2017-11-27 19:19:44,5.0,5,39
Y,C_ID_0a6ceeffcc,143,N,0,A,307,M_ID_5828670504,2,-0.67177524,2017-12-07 19:10:03,5.0,5,19
Y,C_ID_0a6ceeffcc,149,N,0,A,68,M_ID_9f83e4de3e,1,-0.70949178,2017-11-11 10:51:50,5.0,20,27
Y,C_ID_0a6ceeffcc,143,N,0,A,278,M_ID_1bd1f2e1c0,1,-0.72436803,2017-11-25 00:00:00,5.0,5,37
Y,C_ID_0a6ceeffcc,69,N,0,A,606,M_ID_cd2c0b07e9,2,-0.73188128,2017-12-08 13:18:05,1.0,9,17
Y,C_ID_0a6ceeffcc,149,N,0,A,307,M_ID_9242ab6306,1,-0.70178318,2017-11-11 15:03:12,5.0,20,19
Y,C_ID_0a6ceeffcc,143,N,0,A,367,M_ID_804c32055b,2,-0.73711051,2017-12-01 16:39:58,5.0,5,16
Y,C_ID_0a6ceeffcc,149,N,0,A,307,M_ID_df5b2ef420,1,-0.72889101,2017-11-11 08:35:12,5.0,20,19
Y,C_ID_0a6ceeffcc,143,N,0,A,206,M_ID_df7d010451,2,-0.72136273,2017-12-21 11:39:28,5.0,5,1
Y,C_ID_0a6ceeffcc,143,N,0,A,307,M_ID_00c43dc392,1,-0.71535212,2017-11-17 00:00:00,5.0,5,19
Y,C_ID_0a6ceeffcc,69,N,0,A,561,M_ID_50f575c681,1,-0.69882296,2017-11-26 13:57:02,1.0,9,7
Y,C_ID_0a6ceeffcc,143,N,0,A,506,M_ID_c4d3d50783,1,-0.68695201,2017-11-14 12:11:12,5.0,5,30
Y,C_ID_1f236c50e6,4,N,1,B,248,M_ID_df85bd38ef,1,-0.6206851,2018-03-28 21:19:48,2.0,10,8
Y,C_ID_1f236c50e6,4,N,2,C,367,M_ID_791b514047,1,-0.63272133,2018-03-29 14:54:58,2.0,10,16
Y,C_ID_1f236c50e6,4,N,1,B,307,M_ID_5545f2a5d8,2,-0.43315423,2018-04-27 20:24:42,2.0,10,19
Y,C_ID_1f236c50e6,4,N,1,B,705,M_ID_63b4207398,1,-0.25833579,2018-03-02 20:04:18,2.0,10,33
Y,C_ID_1f236c50e6,4,N,1,B,763,M_ID_48bdf62b6c,2,-0.59664268,2018-04-03 17:29:59,2.0,10,36
Y,C_ID_1f236c50e6,4,N,1,B,307,M_ID_da1c9f7c46,2,-0.46637785,2018-04-03 19:57:20,2.0,10,19
Y,C_ID_1f236c50e6,4,N,1,B,307,M_ID_595ba91bf5,1,-0.46881214,2018-03-03 09:27:43,2.0,10,19
Y,C_ID_1f236c50e6,4,N,1,B,367,M_ID_5aed9f9aef,2,0.92854827,2018-04-24 09:24:22,2.0,10,16
Y,C_ID_1f236c50e6,4,N,1,B,705,M_ID_a29cb58fd2,2,-0.56392996,2018-04-06 11:45:19,2.0,10,33
Y,C_ID_1f236c50e6,266,N,1,B,818,M_ID_8ea956ccfc,1,0.03146552,2018-03-28 16:16:22,1.0,9,12
Y,C_ID_1f236c50e6,4,N,1,B,437,M_ID_51da3cd36f,1,-0.18843246,2018-03-01 18:25:39,2.0,10,15
Y,C_ID_cde58e2519,155,N,0,A,367,M_ID_7f335fc115,2,-0.67213587,2018-03-27 22:04:17,1.0,9,16
Y,C_ID_cde58e2519,2,N,0,A,367,M_ID_697f7e4272,1,-0.72436803,2018-02-12 12:36:59,3.0,11,16
Y,C_ID_cde58e2519,87,N,0,A,373,M_ID_1525311bf5,1,-0.23525507,2018-02-07 12:22:13,3.0,11,18
Y,C_ID_cde58e2519,87,N,0,A,307,M_ID_000ab1982d,1,-0.67177524,2018-02-07 12:30:47,3.0,11,19
Y,C_ID_cde58e2519,2,N,0,A,705,M_ID_31e690d394,1,-0.70348118,2018-02-11 11:21:51,3.0,11,33
Y,C_ID_cde58e2519,69,N,0,A,690,M_ID_1e1f6cc067,2,-0.64024961,2018-03-28 19:01:22,1.0,9,1
Y,C_ID_cde58e2519,69,N,0,A,561,M_ID_50f575c681,1,-0.64173724,2018-02-07 11:07:47,1.0,9,7
Y,C_ID_cde58e2519,69,N,0,A,454,M_ID_4872b26e10,2,-0.71084417,2018-03-28 19:06:37,1.0,9,39
Y,C_ID_cde58e2519,329,N,0,A,307,M_ID_b8f688291e,2,-0.71084417,2018-03-25 08:27:12,1.0,9,19
Y,C_ID_cde58e2519,2,N,0,A,683,M_ID_1bafb2fac2,1,-0.73242224,2018-02-12 19:35:00,3.0,11,34
Y,C_ID_0e764b1f60,158,N,1,B,278,M_ID_041909d604,1,-0.69070864,2018-03-13 22:46:13,1.0,15,37
Y,C_ID_0e764b1f60,158,N,1,B,126,M_ID_8e6284dbff,1,-0.61166919,2018-03-17 09:03:13,1.0,15,27
Y,C_ID_0e764b1f60,158,N,1,B,705,M_ID_ea3e266c07,1,-0.73490161,2018-03-14 09:14:51,1.0,15,33
Y,C_ID_0e764b1f60,69,N,1,B,398,M_ID_9054f69343,1,-0.70184329,2018-03-20 20:34:26,1.0,9,17
Y,C_ID_0e764b1f60,158,N,3,C,367,M_ID_e68fb6acf1,1,-0.60935511,2018-03-03 10:18:46,1.0,15,16
Y,C_ID_0e764b1f60,158,N,1,B,398,M_ID_cda8b87aa1,2,-0.68079114,2018-04-20 19:23:12,1.0,15,17
Y,C_ID_f4f2312ef3,-1,Y,4,C,884,M_ID_9dbbaabb0a,2,-0.42849601,2018-04-26 17:50:31,,-1,27
Y,C_ID_f4f2312ef3,291,N,1,B,511,M_ID_9139332ccc,2,-0.71986007,2018-04-12 22:50:25,1.0,9,7
Y,C_ID_f4f2312ef3,143,N,1,B,307,M_ID_0ee469ce3d,1,-0.69732031,2018-03-17 12:05:41,5.0,5,19
Y,C_ID_f4f2312ef3,143,N,1,B,33,M_ID_244728b426,1,-0.67177524,2018-03-23 08:55:15,5.0,5,29
Y,C_ID_f4f2312ef3,143,N,1,B,273,M_ID_4c0ec36fd9,2,-0.71685477,2018-04-28 16:33:28,5.0,5,20
Y,C_ID_f4f2312ef3,143,N,1,B,705,M_ID_f9b32cfc49,1,-0.6783869,2018-03-30 12:48:19,5.0,5,33
Y,C_ID_f4f2312ef3,143,N,1,B,307,M_ID_9aa61c2f7e,1,-0.71347381,2018-03-24 00:50:44,5.0,5,19
Y,C_ID_f4f2312ef3,143,N,1,B,178,M_ID_70cb3189b9,1,-0.7206114,2018-03-31 20:55:15,5.0,5,29
Y,C_ID_f4f2312ef3,143,N,1,B,560,M_ID_72260296d6,1,-0.73368446,2018-03-15 12:36:38,5.0,5,34
Y,C_ID_f4f2312ef3,-1,Y,1,B,45,M_ID_61c5771832,2,-0.30044008,2018-04-13 19:49:03,,-1,18
Y,C_ID_f4f2312ef3,143,N,1,B,180,M_ID_9a0466d9f1,1,-0.73488659,2018-03-27 14:47:08,5.0,5,20
Y,C_ID_f4f2312ef3,143,N,1,B,630,M_ID_fade8817c1,1,-0.73638924,2018-03-29 07:51:54,5.0,5,36
Y,C_ID_d15cd87e37,331,N,0,A,771,M_ID_720bad947c,1,-0.3682397,2018-03-03 16:03:57,1.0,16,31
Y,C_ID_d15cd87e37,69,N,0,A,606,M_ID_cd2c0b07e9,1,-0.71407487,2018-03-26 06:43:24,1.0,9,17
Y,C_ID_d15cd87e37,73,N,0,A,108,,1,-0.29611244,2018-03-28 14:22:31,3.0,19,34
Y,C_ID_d15cd87e37,73,N,0,A,511,M_ID_453409b0c7,2,-0.73263261,2018-04-22 23:00:34,3.0,19,7
Y,C_ID_d15cd87e37,73,N,0,A,40,M_ID_17eb896bf2,1,2.19828852,2018-03-28 14:32:52,3.0,19,21
Y,C_ID_d15cd87e37,73,N,0,A,437,M_ID_cd89a8327a,2,0.75574338,2018-04-02 08:32:04,3.0,19,15
Y,C_ID_d15cd87e37,73,N,0,A,63,M_ID_05ee553dcc,1,-0.31113895,2018-03-26 17:32:44,3.0,19,27
Y,C_ID_d15cd87e37,73,N,0,A,222,M_ID_3257279e4b,1,-0.40129802,2018-03-28 09:23:41,3.0,19,21
Y,C_ID_d15cd87e37,322,N,0,A,278,M_ID_b19f92d2dc,1,-0.44938286,2018-03-24 13:53:03,3.0,11,37
Y,C_ID_d15cd87e37,73,N,0,A,40,M_ID_8949e3f6e1,1,1.58220153,2018-03-26 15:31:14,3.0,19,21
Y,C_ID_d15cd87e37,73,N,0,A,307,M_ID_b842668804,1,-0.51543941,2018-03-24 05:27:04,3.0,19,19
Y,C_ID_d15cd87e37,20,N,0,A,307,M_ID_d23623b922,1,-0.54657434,2018-03-26 04:59:27,3.0,19,19
Y,C_ID_d15cd87e37,73,N,0,A,222,M_ID_ae87537ce2,1,0.80382822,2018-03-28 12:53:43,3.0,19,21
Y,C_ID_d15cd87e37,322,N,0,A,307,M_ID_e401967803,1,-0.53177323,2018-03-26 11:39:17,3.0,11,19
Y,C_ID_d15cd87e37,20,N,0,A,171,M_ID_64938a1834,1,-0.13082081,2018-03-24 14:44:41,3.0,19,34
Y,C_ID_d15cd87e37,73,N,0,A,307,M_ID_8c993604d2,1,-0.4974677,2018-03-28 16:32:35,3.0,19,19
Y,C_ID_d15cd87e37,73,N,0,A,68,M_ID_7977145a36,2,-0.46440937,2018-04-10 07:46:12,3.0,19,27
Y,C_ID_d15cd87e37,73,N,0,A,87,M_ID_405fe5c48e,1,-0.02713788,2018-03-26 18:00:06,3.0,19,27
Y,C_ID_d15cd87e37,20,N,0,A,45,M_ID_1f268ecd9d,1,-0.64172221,2018-03-26 10:12:17,3.0,19,18
Y,C_ID_d15cd87e37,73,N,0,A,560,M_ID_8902e8f2bd,1,-0.71688482,2018-03-27 07:43:22,3.0,19,34
Y,C_ID_d15cd87e37,20,N,0,A,307,M_ID_db3e50268c,1,-0.63270631,2018-03-24 16:35:47,3.0,19,19
Y,C_ID_d15cd87e37,73,N,0,A,842,M_ID_a8bb241872,1,1.50406367,2018-03-28 23:55:46,3.0,19,37
Y,C_ID_d15cd87e37,73,N,0,A,45,M_ID_d50e129586,1,-0.19844011,2018-03-26 12:55:57,3.0,19,18
Y,C_ID_95bea8a938,314,N,0,A,80,M_ID_6ccc1a7c62,1,-0.70498383,2017-08-29 13:26:05,1.0,9,37
Y,C_ID_95bea8a938,314,N,0,A,278,M_ID_f4a5c4200a,2,-0.70701241,2017-09-14 15:13:08,1.0,9,37
Y,C_ID_95bea8a938,19,N,0,A,560,M_ID_1fca6d4757,1,-0.64038485,2017-08-01 14:17:53,1.0,9,34
Y,C_ID_95bea8a938,314,N,0,A,19,M_ID_24a74e1f03,1,-0.71655424,2017-08-07 14:38:02,1.0,9,36
Y,C_ID_95bea8a938,19,N,0,A,80,M_ID_fb6fe70b18,1,-0.60810791,2017-08-11 13:43:00,1.0,9,37
Y,C_ID_95bea8a938,291,N,0,A,511,M_ID_9139332ccc,2,-0.47041998,2017-09-05 16:28:06,1.0,9,7
Y,C_ID_95bea8a938,19,N,0,A,108,M_ID_1c8cd070e3,2,-0.53339609,2017-09-01 11:47:57,1.0,9,34
Y,C_ID_95bea8a938,314,N,0,A,387,M_ID_ecfc36e2c4,1,-0.58296855,2017-08-03 09:42:22,1.0,9,36
Y,C_ID_95bea8a938,19,N,0,A,307,M_ID_b6b55dbeb2,2,-0.68680175,2017-09-13 17:01:36,1.0,9,19
Y,C_ID_95bea8a938,199,N,0,A,278,M_ID_87c3f9fccc,2,-0.71610345,2017-09-19 16:53:35,4.0,14,37
Y,C_ID_458deb9a23,117,N,0,A,307,M_ID_7227479a4e,2,-0.67177524,2018-01-10 09:14:48,4.0,13,19
Y,C_ID_fd55871fd8,187,N,2,C,356,M_ID_3df6c7b4c0,1,-0.17623093,2018-02-09 15:43:26,1.0,15,21
Y,C_ID_fd55871fd8,-1,Y,3,C,317,M_ID_eab68f7390,1,0.14566701,2018-02-20 11:21:49,,-1,25
Y,C_ID_fd55871fd8,187,N,1,B,367,M_ID_3c9e8ab2a4,1,-0.56636426,2018-02-03 19:46:47,1.0,15,16
Y,C_ID_fd55871fd8,187,N,-1,,367,M_ID_2a7d376053,1,-0.32936611,2018-02-10 09:33:55,1.0,15,16
Y,C_ID_fd55871fd8,187,N,2,C,309,M_ID_ecd46fe36c,1,-0.2480276,2018-02-23 15:16:18,1.0,15,21
Y,C_ID_be71a60d23,143,N,0,A,19,M_ID_ab392e3714,1,-0.70175313,2018-03-01 05:47:19,5.0,5,36
Y,C_ID_be71a60d23,333,N,0,A,307,M_ID_1fb0d13ea0,1,-0.71685477,2018-03-08 18:27:49,1.0,9,19
Y,C_ID_be71a60d23,143,N,0,A,166,M_ID_12c118b802,2,-0.73638924,2018-04-30 17:44:44,5.0,5,29
Y,C_ID_be71a60d23,260,N,0,A,705,M_ID_87df22c957,2,-0.70711759,2018-04-14 12:58:41,5.0,5,33
Y,C_ID_be71a60d23,143,N,0,A,387,M_ID_c5ec6bf227,2,-0.68221866,2018-04-20 13:18:43,5.0,5,36
Y,C_ID_be71a60d23,143,N,0,A,557,M_ID_77d0dd1466,2,-0.64923547,2018-04-04 05:59:37,5.0,5,29
Y,C_ID_be71a60d23,143,N,0,A,705,M_ID_d59719f90f,2,-0.68229379,2018-04-01 08:31:03,5.0,5,33
Y,C_ID_be71a60d23,143,N,0,A,783,M_ID_ef271768c5,1,-0.64788308,2018-03-31 17:49:37,5.0,5,19
Y,C_ID_be71a60d23,143,N,0,A,705,M_ID_498e682df4,1,-0.698282,2018-03-10 09:56:30,5.0,5,33
Y,C_ID_be71a60d23,143,N,0,A,69,M_ID_85012138f3,1,-0.72286538,2018-03-16 08:26:48,5.0,5,20
